,Address,StatusMSG,Code
30,197 FORRESTER PKWY,System Not Responding.,-2.0
499,3704 SLADE AVE,System Not Responding.,-2.0
750,2622 MEREDYTH DR,System Not Responding.,-2.0
1259,2624 MEREDYTH DR,System Not Responding.,-2.0
1374,4000 RADIUM SPRINGS RD,System Not Responding.,-2.0
1976,600 POLARIS DR,System Not Responding.,-2.0
2035,2415 DAWSON RD,System Not Responding.,-2.0
2183,1924 LEDO RD,System Not Responding.,-2.0
2935,1301 EVELYN AVE,System Not Responding.,-2.0
2966,320 E OGLETHORPE BLVD,System Not Responding.,-2.0
